stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
301495,301495,Nambour station,, -26.625588, 152.958087,1,https://translink.com.au/stop/301495/gtfs/,0,place_namsta,
301520,301520,Beerwah station,, -26.857042, 152.958553,1,https://translink.com.au/stop/301520/gtfs/,0,place_bwrsta,100
301613,301613,Eudlo station,, -26.725243, 152.957125,1,https://translink.com.au/stop/301613/gtfs/,0,place_eudsta,
301839,301839,Woombye station,, -26.660479, 152.962960,1,https://translink.com.au/stop/301839/gtfs/,0,place_wbysta,
310034,310034,"Beenleigh station, stop A",, -27.717644, 153.204536,1,https://translink.com.au/stop/310034/gtfs/,0,place_beesta,A
310035,310035,"Beenleigh station, stop B",, -27.717827, 153.204439,1,https://translink.com.au/stop/310035/gtfs/,0,place_beesta,B
310036,310036,Birkdale station,, -27.493664, 153.218341,1,https://translink.com.au/stop/310036/gtfs/,0,place_birsta,
310040,310040,Booval station,, -27.609572, 152.789679,1,https://translink.com.au/stop/310040/gtfs/,0,place_bvlsta,
310047,310047,Burpengary station,, -27.162302, 152.957408,1,https://translink.com.au/stop/310047/gtfs/,0,place_bursta,
310063,310063,Cleveland station,, -27.524506, 153.265585,1,https://translink.com.au/stop/310063/gtfs/,0,place_clesta,
310064,310064,Cleveland station,, -27.524723, 153.265091,1,https://translink.com.au/stop/310064/gtfs/,0,place_clesta,
310066,310066,Elimbah station,, -27.011227, 152.945466,1,https://translink.com.au/stop/310066/gtfs/,0,place_elmsta,
310068,310068,"Goodna station, stop A",, -27.608649, 152.902160,1,https://translink.com.au/stop/310068/gtfs/,0,place_goosta,A
310081,310081,Lawnton station,, -27.282368, 152.980934,1,https://translink.com.au/stop/310081/gtfs/,0,place_lawsta,
310082,310082,Woodridge station,, -27.638242, 153.104370,1,https://translink.com.au/stop/310082/gtfs/,0,place_wdrsta,
310086,310086,Morayfield station,, -27.110003, 152.952699,1,https://translink.com.au/stop/310086/gtfs/,0,place_myesta,
310087,310087,Narangba station,, -27.202519, 152.959862,1,https://translink.com.au/stop/310087/gtfs/,0,place_narsta,
310092,310092,"Redbank station, stop A",, -27.599627, 152.872295,1,https://translink.com.au/stop/310092/gtfs/,0,place_redsta,A
310093,310093,"Redbank station, stop B",, -27.599851, 152.871806,1,https://translink.com.au/stop/310093/gtfs/,0,place_redsta,B
310178,310178,Bethania station,, -27.687857, 153.157918,1,https://translink.com.au/stop/310178/gtfs/,0,place_betsta,
310508,310508,River Rd at Dinmore station,, -27.595973, 152.832143,1,https://translink.com.au/stop/310508/gtfs/,0,place_dinsta,
310509,310509,River Rd at Dinmore station,, -27.595854, 152.832024,1,https://translink.com.au/stop/310509/gtfs/,0,place_dinsta,
310517,310517,Brisbane Rd at Ebbw Vale Station,, -27.603326, 152.823551,1,https://translink.com.au/stop/310517/gtfs/,0,place_ebbsta,
310518,310518,Brisbane Rd at Ebbw Vale station,, -27.604074, 152.821170,1,https://translink.com.au/stop/310518/gtfs/,0,place_ebbsta,
310519,310519,Brisbane Rd at Ebbw Vale station,, -27.603367, 152.822811,1,https://translink.com.au/stop/310519/gtfs/,0,place_ebbsta,
310617,310617,Kingston station,, -27.657433, 153.117885,1,https://translink.com.au/stop/310617/gtfs/,0,place_kgtsta,
310799,310799,North Station Rd at Booval station,, -27.607934, 152.789969,1,https://translink.com.au/stop/310799/gtfs/,0,place_bvlsta,
312768,312768,Jacaranda St near Tuggerah St,, -27.608408, 152.786395,1,https://translink.com.au/stop/312768/gtfs/,0,place_bvlsta,
312772,312772,Jacaranda St near Welsby St,, -27.608258, 152.786420,1,https://translink.com.au/stop/312772/gtfs/,0,place_bvlsta,
313638,313638,Railway Pde near Elizabeth St,, -27.631973, 153.097580,1,https://translink.com.au/stop/313638/gtfs/,0,place_trista,
313639,313639,Railway Pde near Elizabeth St,, -27.631957, 153.097711,1,https://translink.com.au/stop/313639/gtfs/,0,place_trista,
315094,315094,Glass House Mountains station,, -26.899065, 152.956827,1,https://translink.com.au/stop/315094/gtfs/,0,place_gmtsta,
317731,317731,Booval station,, -27.609546, 152.790058,1,https://translink.com.au/stop/317731/gtfs/,0,place_bvlsta,
317971,317971,Woodridge station,, -27.638165, 153.104780,1,https://translink.com.au/stop/317971/gtfs/,0,place_wdrsta,
319144,319144,"Springfield Central station, stop A",, -27.674188, 152.902203,1,https://translink.com.au/stop/319144/gtfs/,0,place_spcsta,A
319492,319492,Springfield Station,, -27.659125, 152.922014,1,https://translink.com.au/stop/319492/gtfs/,0,place_sprsta,
