service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TA+k2200+7,0,0,1,1,1,0,0,20260823,20260921
TA+ko200+7,0,0,1,0,0,0,0,20260823,20260921
TA+kw400+7,1,1,0,1,1,0,0,20260823,20260921
TA+l2200#1+7,0,1,1,0,0,0,0,20260823,20260921
TA+l3300+7,0,0,1,0,0,0,0,20260824,20260921
TA+l3300#1+7,0,0,1,0,0,0,0,20260823,20260921
TA+lp400#1+7,0,0,0,0,1,0,0,20260823,20260921
TA+lq000+7,1,0,0,1,0,0,0,20260823,20260921
TA+lw400+7,1,1,0,1,0,0,0,20260823,20260921
TA+mp400#1+7,0,0,1,1,0,0,0,20260823,20260921
TA+n2200#1+7,0,1,1,1,1,0,0,20260823,20260921
TA+np400#1+7,0,1,0,0,0,0,0,20260823,20260921
TA+op400+7,0,0,0,0,0,1,0,20260824,20260921
TA+op400#1+7,0,0,0,0,0,1,0,20260823,20260921
TA+ou300#1+7,0,0,0,1,1,0,0,20260823,20260921
TA+qt200+7,0,0,0,0,0,1,0,20260824,20260921
TA+qt200#1+7,0,0,0,0,0,1,0,20260823,20260921
TA+rq000#1+7,0,0,0,0,0,1,1,20260823,20260921
TA+tv100+7,0,0,0,0,0,0,1,20260823,20260921
TA+up400#1+7,0,0,0,1,1,0,0,20260823,20260921
TA+vg300+7,1,0,1,1,0,0,0,20260823,20260921
TA+wt300#1+7,0,0,1,1,0,0,0,20260823,20260921
TA+wx100+7,0,0,0,0,1,0,0,20260824,20260921
TA+wx100#1+7,0,0,0,0,1,0,0,20260823,20260921
TA+az+11,0,0,0,0,0,0,1,20260823,20261121
TA+bt200+11,0,0,0,0,0,0,1,20260823,20261121
TA+hy200+11,0,0,0,0,0,0,1,20260823,20261121
TA+qe400+11,1,1,1,1,0,0,0,20260823,20261121
TA+R59+11,0,0,0,0,1,0,0,20260823,20261121
TA+TT21+11,0,0,0,0,0,1,0,20260823,20261121
