stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3989220,,"Rotterdam, Delfshaven",51.910072,4.445762,0,stoparea:617454,,1,2,
3989218,,"Rotterdam, Coolhaven",51.909301,4.458509,0,stoparea:617452,,1,2,
3989216,,"Rotterdam, Dijkzigt",51.912171,4.466778,0,stoparea:617455,,1,2,
3989214,,"Rotterdam, Eendrachtsplein",51.915906,4.473141,0,stoparea:617456,,1,2,
3989212,,"Rotterdam, Beurs",51.918393,4.480926,0,stoparea:617449,,1,,
3989209,,"Rotterdam, Blaak",51.920034,4.489731,0,stoparea:617447,,1,,
3989207,,"Rotterdam, Oostplein",51.923267,4.496455,0,stoparea:617479,,1,2,
3989205,,"Rotterdam, Gerdesiaweg",51.925972,4.505867,0,stoparea:617458,,1,2,
3989203,,"Rotterdam, Voorschoterlaan",51.925141,4.512614,0,stoparea:617507,,1,2,
3989201,,"Rotterdam, Kralingse Zoom",51.92123,4.534511,0,stoparea:617466,,1,2,
3989198,,"Rotterdam, Capelsebrug",51.921436,4.558275,0,stoparea:617453,,1,2,
stoparea:617453,Cpb,Capelsebrug,51.921253666666665,4.557483666666667,1,,,0,,
3989196,,"Rotterdam, Schenkel",51.932939,4.563007,0,stoparea:617495,,1,2,
stoparea:617495,Skl,Schenkel,51.931949,4.563461,1,,,0,,
3989194,,"Rotterdam, Prinsenlaan",51.941466,4.556233,0,stoparea:617484,,1,2,
stoparea:617484,Psl,Prinsenlaan,51.940569999999994,4.5566130000000005,1,,,0,,
3989192,,"Rotterdam, Oosterflank",51.946315,4.554165,0,stoparea:617480,,1,2,
stoparea:617480,Otf,Oosterflank,51.9457905,4.554393,1,,,0,,
3989190,,"Rotterdam, Alexander",51.951476,4.551873,0,stoparea:617445,,1,,
stoparea:617445,Ald,Station Alexander NS,51.951086000000004,4.55204,1,,,0,,
3989188,,"Rotterdam, Graskruid",51.957723,4.549327,0,stoparea:617459,,1,2,
stoparea:617459,Gkd,Graskruid,51.957336999999995,4.549392,1,,,0,,
3989178,,"Rotterdam, Romeynshof",51.961571,4.543231,0,stoparea:617490,,1,2,
stoparea:617490,Rmh,Romeynshof,51.961462999999995,4.5425854999999995,1,,,0,,
3989177,,"Rotterdam, Binnenhof",51.960254,4.535093,0,stoparea:617448,,1,1,
stoparea:617448,Bnh,Binnenhof,51.960325999999995,4.5357465,1,,,0,,
3989179,,"Rotterdam, Romeynshof",51.961355,4.54194,0,stoparea:617490,,1,1,
3989189,,"Rotterdam, Graskruid",51.956951,4.549457,0,stoparea:617459,,1,1,
3989191,,"Rotterdam, Alexander",51.950696,4.552207,0,stoparea:617445,,1,,
3989193,,"Rotterdam, Oosterflank",51.945266,4.554621,0,stoparea:617480,,1,1,
3989195,,"Rotterdam, Prinsenlaan",51.939674,4.556993,0,stoparea:617484,,1,1,
3989197,,"Rotterdam, Schenkel",51.930959,4.563915,0,stoparea:617495,,1,1,
3989200,,"Rotterdam, Capelsebrug",51.921104,4.557133,0,stoparea:617453,,1,1,
3989176,,"Rotterdam, Binnenhof",51.960398,4.5364,0,stoparea:617448,,1,2,
3989202,,"Rotterdam, Kralingse Zoom",51.92123,4.534511,0,stoparea:617466,,1,3,
3989249,,"Maassluis, Steendijkpolder",51.932573,4.225035,0,stoparea:617493,,0,3,
stoparea:617493,Sdp,Onbekend,51.93271733333333,4.224750333333334,1,,,0,,
3989246,,"Maassluis, Maassluis West",51.925989,4.235499,0,stoparea:617475,,0,2,
stoparea:617475,Msw,Maassluis West,51.9262505,4.2351220000000005,1,,,0,,
3989244,,"Maassluis, Maassluis Centrum",51.916182,4.254066,0,stoparea:617474,,0,2,
stoparea:617474,Msc,Onbekend,51.9164435,4.253689,1,,,0,,
3989242,,"Vlaardingen, Vlaardingen West",51.903734,4.315545,0,stoparea:617506,,1,4,
stoparea:617506,Vdw,Vlaardingen West,51.903850500000004,4.3150335,1,,,0,,
3989240,,"Vlaardingen, Vlaardingen Centrum",51.903139,4.344361,0,stoparea:617504,,0,2,
stoparea:617504,Vdc,Onbekend,51.903129500000006,4.3437945,1,,,0,,
3989238,,"Vlaardingen, Vlaardingen Oost",51.910588,4.362414,0,stoparea:617505,,0,2,
stoparea:617505,Vdo,Vlaardingen Oost,51.910373,4.3619755,1,,,0,,
3989236,,"Schiedam, Schiedam Nieuwland",51.922935,4.383852,0,stoparea:617492,,1,2,
stoparea:617492,Sdn,Schiedam Nieuwland,51.922751500000004,4.383398,1,,,0,,
3989186,,"Rotterdam, Hesseplaats",51.963309,4.553791,0,stoparea:617464,,1,2,
stoparea:617464,Hsp,Hesseplaats,51.963201,4.553124,1,,,0,,
3989184,,"Rotterdam, Nieuw Verlaat",51.964887,4.562042,0,stoparea:617478,,1,2,
stoparea:617478,Nvl,Nieuw Verlaat,51.964805999999996,4.5613885,1,,,0,,
3989182,,"Rotterdam, Ambachtsland",51.96581,4.570712,0,stoparea:617443,,1,2,
stoparea:617443,Abl,Ambachtsland,51.965756,4.5700655,1,,,0,,
3989180,,"Rotterdam, De Tochten",51.969141,4.579223,0,stoparea:617501,,1,2,
stoparea:617501,Ttn,Tochten,51.968948,4.5786225,1,,,0,,
3989169,,"Rotterdam, Nesselande",51.979257,4.586348,0,stoparea:618216,,1,1,
stoparea:618216,Nsl,Nesselande,51.97933233333333,4.586448333333333,1,,,0,,
3989181,,"Rotterdam, De Tochten",51.968755,4.578022,0,stoparea:617501,,1,1,
3989183,,"Rotterdam, Ambachtsland",51.965702,4.569419,0,stoparea:617443,,1,1,
3989185,,"Rotterdam, Nieuw Verlaat",51.964725,4.560735,0,stoparea:617478,,1,1,
3989187,,"Rotterdam, Hesseplaats",51.963093,4.552457,0,stoparea:617464,,1,1,
3989235,,"Schiedam, Schiedam Nieuwland",51.922568,4.382944,0,stoparea:617492,,1,1,
3989237,,"Vlaardingen, Vlaardingen Oost",51.910158,4.361537,0,stoparea:617505,,0,1,
3989239,,"Vlaardingen, Vlaardingen Centrum",51.90312,4.343228,0,stoparea:617504,,,1,
3989241,,"Vlaardingen, Vlaardingen West",51.903967,4.314522,0,stoparea:617506,,1,1,
3989243,,"Maassluis, Maassluis Centrum",51.916705,4.253312,0,stoparea:617474,,,1,
3989245,,"Maassluis, Maassluis West",51.926512,4.234745,0,stoparea:617475,,0,1,
3989247,,"Maassluis, Steendijkpolder",51.93307,4.224295,0,stoparea:617493,,0,1,
3989250,,"Hoek van Holland, Hoek van Holland Haven",51.976722,4.127547,0,stoparea:617461,,1,1,
stoparea:617461,Hhh,Hoek van Holland Haven,51.976694,4.1274750000000004,1,,,0,,
3989252,,"Hoek van Holland, Hoek van Holland Strand",51.986748,4.106256,0,stoparea:617462,,1,1,
stoparea:617462,Hhs,Onbekend,51.9867165,4.1062135,1,,,0,,
3989251,,"Hoek van Holland, Hoek van Holland Haven",51.976666,4.127403,0,stoparea:617461,,1,2,
3989248,,"Maassluis, Steendijkpolder",51.932509,4.224921,0,stoparea:617493,,0,2,
3989168,,"Rotterdam, Nesselande",51.980086,4.58674,0,stoparea:618216,,1,2,
3989601,,"Hoek van Holland, Hoek van Holland Strand",51.986685,4.106171,0,stoparea:617462,,1,2,
3989174,,"Capelle aan den IJssel, Slotlaan",51.928556,4.579008,0,stoparea:617497,,1,2,
stoparea:617497,Sln,Slotlaan,51.9284795,4.578377,1,,,0,,
