route_id,service_id,trip_id,trip_headsign
5,Rail MTuWThF-XHol_20260823,HVL__0__2642__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
2,Rail MTuWThF-XHol_20260823,KPL__1__6311__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2611__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__6211__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
4,Rail MTuWThF-XHol_20260823,WRL__1__1609__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__1__3841__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__1__9367__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__6331__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail SaSu + Hol_20260823,JVL__1__9355__RAIL__Rail_SaSu_+_Hol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__0__4628__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
5,Rail MTuWThF-XHol_20260823,HVL__1__3653__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__0__9246__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
6,Rail MTuWThF-XHol_20260823,JVL__1__9235__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__2603__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__6219__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__6233__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail SaSu + Hol_20260823,HVL__0__3856__RAIL__Rail_SaSu_+_Hol_20260823,Upper Hutt
6,Rail MTuWThF-XHol_20260823,JVL__0__9280__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
2,Rail F-XHol_20260823,KPL__1__6349__RAIL__Rail_F-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__1__4611__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail SaSu + Hol_20260823,KPL__0__6436__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
5,Rail SaSu + Hol_20260823,HVL__0__3864__RAIL__Rail_SaSu_+_Hol_20260823,Upper Hutt
3,Rail MEL WEST_20260823,MEL__1__5641__RAIL__Rail_MEL_WEST_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__1__8213__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
2,Rail MTuWThF-XHol_20260823,KPL__0__6316__RAIL__Rail_MTuWThF-XHol_20260823,Waikanae
2,Rail SaSu + Hol_20260823,KPL__0__6456__RAIL__Rail_SaSu_+_Hol_20260823,Waikanae
2,Rail MTuWThF-XHol_20260823,KPL__1__6303__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
4,Rail MTuWThF-XHol_20260823,WRL__0__1604__RAIL__Rail_MTuWThF-XHol_20260823,Masterton
5,Rail MTuWThF-XHol_20260823,HVL__0__4630__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
6,Rail MTuWThF-XHol_20260823,JVL__0__9222__RAIL__Rail_MTuWThF-XHol_20260823,Johnsonville
5,Rail F-XHol_20260823,HVL__1__3665__RAIL__Rail_F-XHol_20260823,Wellington Station
6,Rail MTuWThF-XHol_20260823,JVL__1__9217__RAIL__Rail_MTuWThF-XHol_20260823,Wellington Station
5,Rail MTuWThF-XHol_20260823,HVL__0__4620__RAIL__Rail_MTuWThF-XHol_20260823,Upper Hutt
3,Rail MEL WEST_20260823,MEL__0__5610__RAIL__Rail_MEL_WEST_20260823,Western Hutt
2,Rail F-XHol_20260823,KPL__0__6368__RAIL__Rail_F-XHol_20260823,Waikanae
