stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
stoparea:615114,Van der Madeweg,Van der Madeweg,52.3295188,4.930454,1,,,0,,
3980811,,"Amsterdam, Nieuwmarkt",52.37194,4.901236,0,stoparea:615120,,1,1,
3979944,,"Amsterdam, Waterlooplein",52.366941,4.903038,0,stoparea:615100,,1,1,
3979696,,"Amsterdam, Weesperplein",52.361199,4.907857,0,stoparea:615086,,1,1,
3980778,,"Amsterdam, Wibautstraat",52.354286,4.911954,0,stoparea:615109,,1,1,
3980326,,"Amsterdam, Amstelstation",52.346552,4.917379,0,stoparea:615111,,1,3,
3980658,,"Amsterdam, Spaklerweg",52.33986,4.920854,0,stoparea:615105,,1,1,
3980803,,"Amsterdam, Van der Madeweg",52.329436,4.930396,0,stoparea:615114,,1,1,
3980042,,"Amsterdam, Venserpolder",52.326792,4.946647,0,stoparea:615102,,1,1,
3981216,,"Diemen, Station Diemen Zuid",52.330426,4.95713,0,stoparea:615121,,1,,
3980708,,"Diemen, Verrijn Stuartweg",52.328439,4.966934,0,stoparea:615101,,1,1,
3981316,,"Amsterdam, Ganzenhoef",52.323311,4.973231,0,stoparea:615095,,1,1,
3979992,,"Amsterdam, Kraaiennest",52.316323,4.979632,0,stoparea:615093,,1,1,
3981392,,"Amsterdam, Centraal Station",52.377386,4.901191,0,stoparea:615089,,1,,
3980228,,"Amsterdam, Gaasperplas",52.310804,4.984683,0,stoparea:615108,,0,1,
3980747,,"Amsterdam, Gein",52.296284,4.988728,0,stoparea:615115,,0,1,
stoparea:615115,Gein,Gein,52.29635425000001,4.9889547499999995,1,,,0,,
3979741,,"Amsterdam, Reigersbos",52.295576,4.973636,0,stoparea:615091,,0,2,
stoparea:615091,Reigersbos,Reigersbos,52.29623325,4.973901,1,,,0,,
3981303,,"Amsterdam, Station Holendrecht",52.298394,4.959859,0,stoparea:615113,,1,,
stoparea:615113,Station Holendrecht,Station Holendrecht,52.2974702,4.959378,1,,,0,,
3981144,,"Amsterdam, Bullewijk",52.306931,4.952079,0,stoparea:615116,,1,2,
stoparea:615116,Bullewijk,Bullewijk,52.306670999999994,4.952199,1,,,0,,
3980962,,"Amsterdam, Station Bijlmer ArenA",52.312611,4.946935,0,stoparea:615125,,0,,
stoparea:615125,Station Bijlmer ArenA,Station Bijlmer ArenA,52.31163900000001,4.947373714285715,1,,,0,,
3981329,,"Amsterdam, Strandvliet",52.318683,4.941375,0,stoparea:615122,,1,2,
stoparea:615122,Strandvliet,Strandvliet,52.318467999999996,4.9414505,1,,,0,,
3979812,,"Duivendrecht, Station Duivendrecht",52.323895,4.936262,0,stoparea:615096,,1,,
stoparea:615096,Station Duivendrecht,Station Duivendrecht,52.323263749999995,4.9363345,1,,,0,,
3981387,,"Amsterdam, Van der Madeweg",52.329903,4.930333,0,stoparea:615114,,1,2,
3980916,,"Duivendrecht, Station Duivendrecht",52.32325,4.936782,0,stoparea:615096,,1,,
3980848,,"Amsterdam, Strandvliet",52.318253,4.941526,0,stoparea:615122,,0,1,
3981233,,"Amsterdam, Station Bijlmer ArenA",52.311928,4.947132,0,stoparea:615125,,1,,
3980563,,"Amsterdam, Bullewijk",52.306411,4.952319,0,stoparea:615116,,1,1,
3980442,,"Amsterdam, Station Holendrecht",52.297802,4.960216,0,stoparea:615113,,1,,
3980145,,"Amsterdam, Reigersbos",52.295661,4.97472,0,stoparea:615091,,1,1,
3980501,,"Amsterdam, Van der Madeweg",52.329427,4.930381,0,stoparea:615114,,1,3,
3980550,,"Amsterdam, Gein",52.296391,4.988478,0,stoparea:615115,,0,2,
3981177,,"Amsterdam, Isolatorweg",52.395222,4.850132,0,stoparea:615123,,0,1,
stoparea:615123,Isolatorweg,Isolatorweg,52.3951655,4.850588,1,,,0,,
3981404,,"Amsterdam, Station Sloterdijk",52.388806,4.838781,0,stoparea:615119,,1,,
stoparea:615119,Station Sloterdijk,Station Sloterdijk,52.388313600000004,4.838752000000001,1,,,0,,
3980423,,"Amsterdam, Burg. De Vlugtlaan",52.37951,4.838088,0,stoparea:615097,,1,1,
stoparea:615097,Burg. De Vlugtlaan,Burg. De Vlugtlaan,52.379316,4.8379217500000005,1,,,0,,
3981345,,"Amsterdam, Jan van Galenstraat",52.371963,4.834922,0,stoparea:615103,,1,1,
stoparea:615103,Jan van Galenstraat,Jan van Galenstraat,52.3727034,4.8355382,1,,,0,,
3980167,,"Amsterdam, Postjesweg",52.364669,4.833838,0,stoparea:615106,,1,1,
stoparea:615106,Postjesweg,Postjesweg,52.364863,4.833924,1,,,0,,
3980624,,"Amsterdam, Station Lelylaan",52.357652,4.834263,0,stoparea:615117,,1,,
stoparea:615117,Station Lelylaan,Station Lelylaan,52.357304375000005,4.8344510000000005,1,,,0,,
3981073,,"Amsterdam, Heemstedestraat",52.352555,4.834209,0,stoparea:615126,,1,1,
stoparea:615126,Heemstedestraat,Heemstedestraat,52.35201500000001,4.83436,1,,,0,,
3979743,,"Amsterdam, Henk Sneevlietweg",52.346265,4.834376,0,stoparea:615092,,1,1,
stoparea:615092,Henk Sneevlietweg,Henk Sneevlietweg,52.3465035,4.834505,1,,,0,,
3980314,,"Amsterdam, Amstelveenseweg",52.338365,4.858069,0,stoparea:615110,,1,1,
stoparea:615110,Amstelveenseweg,Amstelveenseweg,52.33831500000001,4.857456750000001,1,,,0,,
3979905,,"Amsterdam, Station Zuid",52.339078,4.875096,0,stoparea:615088,,1,,
3981250,,"Amsterdam, Station RAI",52.337397,4.889817,0,stoparea:615124,,1,,
stoparea:615124,Station RAI,Station RAI,52.3371846,4.8901482000000005,1,,,0,,
3979849,,"Amsterdam, Overamstel",52.331797,4.918151,0,stoparea:615094,,1,1,
stoparea:615094,Overamstel,Overamstel,52.33167433333333,4.917541000000001,1,,,0,,
3980951,,"Amsterdam, Amstelveenseweg",52.33846,4.857202,0,stoparea:615110,,1,2,
3980623,,"Amsterdam, Henk Sneevlietweg",52.346742,4.834634,0,stoparea:615092,,1,2,
3981111,,"Amsterdam, Heemstedestraat",52.353086,4.83435,0,stoparea:615126,,1,2,
3980810,,"Amsterdam, Station Lelylaan",52.358165,4.834462,0,stoparea:615117,,1,,
3981215,,"Amsterdam, Postjesweg",52.365057,4.83401,0,stoparea:615106,,1,2,
3980089,,"Amsterdam, Jan van Galenstraat",52.372469,4.835312,0,stoparea:615103,,1,2,
3979836,,"Amsterdam, Burg. De Vlugtlaan",52.379952,4.83845,0,stoparea:615097,,1,2,
3980688,,"Amsterdam, Station Sloterdijk",52.389346,4.838966,0,stoparea:615119,,1,,
3979776,,"Amsterdam, Overamstel",52.331649,4.917214,0,stoparea:615094,,1,2,
3980950,,"Amsterdam, Station RAI",52.33788,4.88921,0,stoparea:615124,,1,,
3979717,,"Amsterdam, Station Zuid",52.339315,4.873758,0,stoparea:615088,,1,,
3980939,,"Amsterdam, Isolatorweg",52.395109,4.851044,0,stoparea:615123,,1,2,
3980648,,"Amsterdam, Spaklerweg",52.340184,4.920894,0,stoparea:615105,,1,4,
3980996,,"Amsterdam, Spaklerweg",52.339897,4.921029,0,stoparea:615105,,0,3,
3980503,,"Amsterdam, Overamstel",52.331577,4.917258,0,stoparea:615094,,1,4,
3987437,,"Amsterdam, Station Zuid",52.339136,4.873965,0,stoparea:615088,,1,,
