service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
70524.070926.31,1,1,1,1,1,0,0,20260907,20261002
70524.061026.31,1,1,1,1,1,0,0,20261006,20261217
70536.070926.31,1,1,1,1,1,0,0,20260907,20261002
70536.061026.31,1,1,1,1,1,0,0,20261006,20261217
70548.070926.31,1,1,1,1,1,0,0,20260907,20261002
70548.061026.31,1,1,1,1,1,0,0,20261006,20261217
70560.070926.31,1,1,1,1,1,0,0,20260907,20261002
70560.061026.31,1,1,1,1,1,0,0,20261006,20261217
70572.070926.31,1,1,1,1,1,0,0,20260907,20261002
70572.061026.31,1,1,1,1,1,0,0,20261006,20261217
70584.070926.31,1,1,1,1,1,0,0,20260907,20261002
70584.061026.31,1,1,1,1,1,0,0,20261006,20261217
70596.070926.31,1,1,1,1,1,0,0,20260907,20261002
70596.061026.31,1,1,1,1,1,0,0,20261006,20261217
70608.070926.31,1,1,1,1,1,0,0,20260907,20261002
70608.061026.31,1,1,1,1,1,0,0,20261006,20261217
70620.070926.31,1,1,1,1,1,0,0,20260907,20261002
70620.061026.31,1,1,1,1,1,0,0,20261006,20261217
70632.070926.31,1,1,1,1,1,0,0,20260907,20261002
70632.061026.31,1,1,1,1,1,0,0,20261006,20261217
70644.070926.31,1,1,1,1,1,0,0,20260907,20261002
70644.061026.31,1,1,1,1,1,0,0,20261006,20261217
70656.070926.31,1,1,1,1,1,0,0,20260907,20261002
70656.061026.31,1,1,1,1,1,0,0,20261006,20261217
70668.070926.31,1,1,1,1,1,0,0,20260907,20261002
70668.061026.31,1,1,1,1,1,0,0,20261006,20261217
70680.070926.31,1,1,1,1,1,0,0,20260907,20261002
70680.061026.31,1,1,1,1,1,0,0,20261006,20261217
70692.070926.31,1,1,1,1,1,0,0,20260907,20261002
70692.061026.31,1,1,1,1,1,0,0,20261006,20261217
70704.070926.31,1,1,1,1,1,0,0,20260907,20261002
70704.061026.31,1,1,1,1,1,0,0,20261006,20261217
70716.070926.31,1,1,1,1,1,0,0,20260907,20261002
70716.061026.31,1,1,1,1,1,0,0,20261006,20261217
70728.070926.31,1,1,1,1,1,0,0,20260907,20261002
70728.061026.31,1,1,1,1,1,0,0,20261006,20261217
70740.070926.31,1,1,1,1,1,0,0,20260907,20261002
70740.061026.31,1,1,1,1,1,0,0,20261006,20261217
70752.070926.31,1,1,1,1,1,0,0,20260907,20261002
70752.061026.31,1,1,1,1,1,0,0,20261006,20261217
70764.070926.31,1,1,1,1,1,0,0,20260907,20261002
70764.061026.31,1,1,1,1,1,0,0,20261006,20261217
70776.070926.31,1,1,1,1,1,0,0,20260907,20261002
70776.061026.31,1,1,1,1,1,0,0,20261006,20261217
70788.070926.31,1,1,1,1,1,0,0,20260907,20261002
70788.061026.31,1,1,1,1,1,0,0,20261006,20261217
70800.070926.31,1,1,1,1,1,0,0,20260907,20261002
70800.061026.31,1,1,1,1,1,0,0,20261006,20261217
70812.070926.31,1,1,1,1,1,0,0,20260907,20261002
